Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
New school loans,0,0,2019,50217,"Newport Gardens Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2019,50217,"Newport Gardens Primary School, Newport, VIC",
Other,6990,36017,2019,50217,"Newport Gardens Primary School, Newport, VIC",
Total capital expenditure,97611,349034,2019,50217,"Newport Gardens Primary School, Newport, VIC",
Australian government capital expenditure,36888,152910,2015,45475,"University High School, Parkville, VIC",
State / territory government capital expenditure,48833,200407,2015,45475,"University High School, Parkville, VIC",
New school loans,0,0,2015,45475,"University High School, Parkville, VIC",
Income allocated to current capital projects,0,0,2015,45475,"University High School, Parkville, VIC",
Other,90714,438330,2015,45475,"University High School, Parkville, VIC",
Total capital expenditure,176435,791647,2015,45475,"University High School, Parkville, VIC",
Australian government capital expenditure,84978,485046,2019,44224,"Albert Park Primary School, Albert Park, VIC",
State / territory government capital expenditure,265794,2682754,2019,44224,"Albert Park Primary School, Albert Park, VIC",
New school loans,0,0,2019,44224,"Albert Park Primary School, Albert Park, VIC",
Income allocated to current capital projects,0,0,2019,44224,"Albert Park Primary School, Albert Park, VIC",
Other,21652,33186,2019,44224,"Albert Park Primary School, Albert Park, VIC",
Total capital expenditure,372424,3200986,2019,44224,"Albert Park Primary School, Albert Park, VIC",
Australian government capital expenditure,83080,96361,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
State / territory government capital expenditure,196874,213148,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
New school loans,0,0,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Income allocated to current capital projects,0,0,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Other,35000,35000,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Total capital expenditure,314954,344509,2016,45375,"Mount Alexander 7-12 College, Flemington, VIC",
Australian government capital expenditure,16474,150119,2018,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,49572,868157,2018,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2018,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,66046,1018276,2018,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,25371,75421,2014,44693,"Kingsville Primary School, Yarraville, VIC",
State / territory government capital expenditure,17597,83400,2014,44693,"Kingsville Primary School, Yarraville, VIC",
New school loans,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2014,44693,"Kingsville Primary School, Yarraville, VIC",
Other,0,57523,2014,44693,"Kingsville Primary School, Yarraville, VIC",
Total capital expenditure,42968,216344,2014,44693,"Kingsville Primary School, Yarraville, VIC",
Australian government capital expenditure,129690,142146,2017,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,809213,829838,2017,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2017,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,938903,971984,2017,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,16846,62881,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
State / territory government capital expenditure,22301,88119,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
New school loans,0,0,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Income allocated to current capital projects,0,0,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Other,10175,20228,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Total capital expenditure,49322,171228,2015,45454,"Princes Hill Secondary College, Princes Hill, VIC",
Australian government capital expenditure,10386,35177,2015,44664,"Footscray West Primary School, West Footscray, VIC",
State / territory government capital expenditure,13749,51391,2015,44664,"Footscray West Primary School, West Footscray, VIC",
New school loans,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC",
Income allocated to current capital projects,0,0,2015,44664,"Footscray West Primary School, West Footscray, VIC",
Other,0,39217,2015,44664,"Footscray West Primary School, West Footscray, VIC",
Total capital expenditure,24135,125785,2015,44664,"Footscray West Primary School, West Footscray, VIC",
Australian government capital expenditure,0,142,2015,45797,"St John's School, Footscray, VIC",
State / territory government capital expenditure,0,0,2015,45797,"St John's School, Footscray, VIC",
New school loans,0,320000,2015,45797,"St John's School, Footscray, VIC",
Income allocated to current capital projects,140543,390189,2015,45797,"St John's School, Footscray, VIC",
Other,129749,415547,2015,45797,"St John's School, Footscray, VIC",
Total capital expenditure,270292,1125878,2015,45797,"St John's School, Footscray, VIC",
Australian government capital expenditure,17441,456882,2015,44044,"Newport Lakes Primary School, Newport, VIC",
State / territory government capital expenditure,23089,522988,2015,44044,"Newport Lakes Primary School, Newport, VIC",
New school loans,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC",
Income allocated to current capital projects,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC",
Other,0,0,2015,44044,"Newport Lakes Primary School, Newport, VIC",
Total capital expenditure,40530,979870,2015,44044,"Newport Lakes Primary School, Newport, VIC",
Australian government capital expenditure,90616,170482,2022,44461,"Kensington Primary School, Kensington, VIC",
State / territory government capital expenditure,347820,672055,2022,44461,"Kensington Primary School, Kensington, VIC",
New school loans,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Income allocated to current capital projects,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Other,0,0,2022,44461,"Kensington Primary School, Kensington, VIC",
Total capital expenditure,438436,842537,2022,44461,"Kensington Primary School, Kensington, VIC",
Australian government capital expenditure,118587,0,2023,44224,"Albert Park Primary School, Albert Park, VIC","469,346"
State / territory government capital expenditure,517859,0,2023,44224,"Albert Park Primary School, Albert Park, VIC","1,876,974"
New school loans,0,0,2023,44224,"Albert Park Primary School, Albert Park, VIC",0
Income allocated to current capital projects,0,0,2023,44224,"Albert Park Primary School, Albert Park, VIC",0
Other,0,0,2023,44224,"Albert Park Primary School, Albert Park, VIC",0
Total capital expenditure,636446,0,2023,44224,"Albert Park Primary School, Albert Park, VIC","2,346,320"
Australian government capital expenditure,0,0,2021,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,126793,367099,2021,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2021,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2021,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2021,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,126793,367099,2021,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,27457,103163,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,19043,171203,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,0,79943,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,46500,354308,2014,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,6388,541175,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,8457,629371,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,5249,54874,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,20094,1225420,2015,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,1107661,1227971,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,4372851,4840527,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,0,0,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,5480512,6068498,2021,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,29628,377145,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,20549,598713,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,8360,59125,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,58537,1034983,2014,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,603832,0,2023,44062,"Footscray Primary School, Footscray, VIC","3,487,448"
State / territory government capital expenditure,2636885,0,2023,44062,"Footscray Primary School, Footscray, VIC","13,729,081"
New school loans,0,0,2023,44062,"Footscray Primary School, Footscray, VIC",0
Income allocated to current capital projects,0,0,2023,44062,"Footscray Primary School, Footscray, VIC",0
Other,0,0,2023,44062,"Footscray Primary School, Footscray, VIC","38,367"
Total capital expenditure,3240717,0,2023,44062,"Footscray Primary School, Footscray, VIC","17,254,896"
Australian government capital expenditure,372370,763402,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,882404,1389330,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,55805,93565,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,1310579,2246297,2016,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,3916,13139,2014,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,2716,12960,2014,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2014,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2014,44948,"Carlton Primary School, Carlton, VIC",
Other,0,0,2014,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,6632,26099,2014,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,148923,583956,2018,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,253110,957737,2018,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2018,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2018,40427,"Williamstown High School, Williamstown, VIC",
Other,22756,105592,2018,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,424789,1647285,2018,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,228232,259031,2022,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,876046,998948,2022,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2022,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2022,44225,"Williamstown Primary School, Williamstown, VIC",
Other,0,28612,2022,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,1104278,1286591,2022,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,223822,257267,2014,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,244345,308827,2014,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2014,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2014,44671,"Altona Primary School, Altona, VIC",
Other,0,24686,2014,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,468167,590780,2014,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,10493,32718,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,32819,130054,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,0,8118,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,43312,170890,2019,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,223734,1330961,2016,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,299992,824883,2016,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2016,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2016,45442,"Northcote High School, Northcote, VIC",
Other,0,72042,2016,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,523726,2227886,2016,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,15990,94307,2019,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,50015,322308,2019,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2019,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2019,44513,"Middle Park Primary School, Middle Park, VIC",
Other,0,17333,2019,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,66005,433948,2019,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,28696,73884,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,110146,292538,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,0,38521,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,138842,404943,2022,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,18391,130359,2019,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,57523,713897,2019,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2019,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2019,44062,"Footscray Primary School, Footscray, VIC",
Other,14364,42125,2019,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,90278,886381,2019,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,218069,466011,2017,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,655639,778909,2017,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2017,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2017,45360,"Braybrook College, Braybrook, VIC",
Other,43599,97942,2017,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,917307,1342862,2017,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,623995,1186959,2022,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,2395148,4629615,2022,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2022,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2022,40427,"Williamstown High School, Williamstown, VIC",
Other,57337,236648,2022,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,3076480,6053222,2022,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,44345,88893,2019,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,138703,303059,2019,45587,"Altona College, Altona, VIC",
New school loans,0,0,2019,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2019,45587,"Altona College, Altona, VIC",
Other,10175,10175,2019,45587,"Altona College, Altona, VIC",
Total capital expenditure,193223,402127,2019,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,241627,1409056,2019,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,755758,4806819,2019,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2019,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2019,50267,"Albert Park College, Albert Park, VIC",
Other,31200,258242,2019,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,1028585,6474117,2019,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,117324,0,2021,52915,"Docklands Primary School, Docklands, VIC",
State / territory government capital expenditure,463174,0,2021,52915,"Docklands Primary School, Docklands, VIC",
New school loans,0,0,2021,52915,"Docklands Primary School, Docklands, VIC",
Income allocated to current capital projects,0,0,2021,52915,"Docklands Primary School, Docklands, VIC",
Other,0,0,2021,52915,"Docklands Primary School, Docklands, VIC",
Total capital expenditure,580498,0,2021,52915,"Docklands Primary School, Docklands, VIC",
Australian government capital expenditure,13803,0,2023,44513,"Middle Park Primary School, Middle Park, VIC","52,360"
State / territory government capital expenditure,60278,0,2023,44513,"Middle Park Primary School, Middle Park, VIC","209,169"
New school loans,0,0,2023,44513,"Middle Park Primary School, Middle Park, VIC",0
Income allocated to current capital projects,0,0,2023,44513,"Middle Park Primary School, Middle Park, VIC",0
Other,28820,0,2023,44513,"Middle Park Primary School, Middle Park, VIC","38,762"
Total capital expenditure,102901,0,2023,44513,"Middle Park Primary School, Middle Park, VIC","300,291"
Australian government capital expenditure,995031,2161401,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,2867713,7622719,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,0,0,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,3862744,9784120,2018,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,15973,30710,2018,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,48065,127623,2018,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2018,44225,"Williamstown Primary School, Williamstown, VIC",
Other,32875,60079,2018,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,96913,218412,2018,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,0,398388,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,0,1853161,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,93150,120577,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,93150,2372126,2019,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,23510,45430,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,70746,191343,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,9000,73610,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,103256,310383,2018,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,557598,1843538,2014,40427,"Williamstown High School, Williamstown, VIC",
State / territory government capital expenditure,45018,281898,2014,40427,"Williamstown High School, Williamstown, VIC",
New school loans,0,0,2014,40427,"Williamstown High School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2014,40427,"Williamstown High School, Williamstown, VIC",
Other,44058,369479,2014,40427,"Williamstown High School, Williamstown, VIC",
Total capital expenditure,646674,2494915,2014,40427,"Williamstown High School, Williamstown, VIC",
Australian government capital expenditure,72012,161374,2021,45360,"Braybrook College, Braybrook, VIC",
State / territory government capital expenditure,284290,619638,2021,45360,"Braybrook College, Braybrook, VIC",
New school loans,0,0,2021,45360,"Braybrook College, Braybrook, VIC",
Income allocated to current capital projects,0,0,2021,45360,"Braybrook College, Braybrook, VIC",
Other,70430,180742,2021,45360,"Braybrook College, Braybrook, VIC",
Total capital expenditure,426732,961754,2021,45360,"Braybrook College, Braybrook, VIC",
Australian government capital expenditure,25221,315317,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,75892,878970,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,14373,14373,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,115486,1208660,2018,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,2527995,2706073,2018,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,7607118,8573651,2018,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2018,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2018,44948,"Carlton Primary School, Carlton, VIC",
Other,8839,16829,2018,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,10143952,11296553,2018,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,324199,504462,2018,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,975563,1418464,2018,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2018,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2018,44671,"Altona Primary School, Altona, VIC",
Other,0,8205,2018,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,1299762,1931131,2018,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,10099,54438,2015,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,13369,80787,2015,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2015,44513,"Middle Park Primary School, Middle Park, VIC",
Other,16497,16497,2015,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,39965,151722,2015,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,198102,2046141,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,262251,2468080,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,6140,6140,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,466493,4520361,2015,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,677,2599795,2015,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,896,2976508,2015,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2015,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2015,50267,"Albert Park College, Albert Park, VIC",
Other,10616,46074,2015,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,12189,5622377,2015,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,12545,539787,2015,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,16607,98671,2015,45587,"Altona College, Altona, VIC",
New school loans,0,0,2015,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2015,45587,"Altona College, Altona, VIC",
Other,0,22634,2015,45587,"Altona College, Altona, VIC",
Total capital expenditure,29152,661092,2015,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,8618,163539,2022,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,33079,652037,2022,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2022,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2022,44948,"Carlton Primary School, Carlton, VIC",
Other,0,0,2022,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,41697,815576,2022,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,53132,100833,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,217011,363468,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,89257,89257,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,359400,553558,2020,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,8680,34256,2015,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,11491,45404,2015,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2015,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2015,44062,"Footscray Primary School, Footscray, VIC",
Other,0,22462,2015,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,20171,102122,2015,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,28100,55443,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,107860,217825,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,20181,28094,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,156141,301362,2022,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,62545,405221,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,390259,1101446,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,0,37613,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,452804,1544280,2017,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,52079,87957,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,199899,344833,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,0,24377,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,251978,457167,2022,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,0,0,2017,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,61046,164260,2017,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2017,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2017,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2017,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,61046,164260,2017,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,493404,1338158,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,150894,253513,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,0,202151,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,644298,1793822,2014,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,36323,1969144,2020,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,148357,5768465,2020,45442,"Northcote High School, Northcote, VIC",
